gene	01_ctrl	02_ctrl	03_ctrl	04_ctrl	05_tx	06_tx	07_tx	08_tx
Gm24403	0	0	0	0	0	0	0	0
Rusc1	319	263	264	244	242	274	356	252
Fdps	1472	1373	1483	1572	1223	1109	1200	1096
Gm22935	48	41	22	55	26	52	61	44
Pklr	0	0	0	0	0	0	0	0
Hcn3	135	88	85	98	102	137	63	126
Gm45927	0	0	0	0	0	0	0	0
Clk2	326	294	395	332	320	310	339	404
Scamp3	0	0	0	0	0	0	0	0
Gm16069	0	0	0	3	0	0	0	0
Fam189b	195	207	177	135	129	168	321	221
Gm23269	0	0	2	0	0	0	2	0
Gba	267	280	247	259	271	184	286	230
Mtx1	845	846	932	857	786	725	794	803
Thbs3	13	6	17	5	6	2	4	10
LOC115489723	0	0	0	0	0	0	0	0
Mir92b	0	0	0	0	0	0	0	0
Muc1	45	36	27	15	26	38	36	18
Trim46	29	32	83	34	13	36	53	40
Krtcap2	2728	2532	2634	2812	2327	2581	2556	2534
Dpm3	1630	1489	1721	1444	1443	1292	1448	1251
Slc50a1	427	420	400	444	371	418	392	360
Efna1	7	8	5	2	3	9	6	9
Gm33845	0	0	0	0	0	0	0	0
Gm34014	0	0	0	0	0	0	0	0
Efna3	0	0	0	0	1	0	0	0
Gm15998	0	0	1	0	0	1	0	1
Gm34118	0	0	0	0	0	0	0	0
Efna4	9	8	2	39	7	32	16	12
Adam15	134	106	122	102	118	88	115	74
Dcst1	0	0	0	0	0	0	0	0
Dcst2	5	0	0	0	0	0	0	0
Zbtb7b	33	50	45	27	28	26	12	14
Gm15417	2	7	0	2	7	0	5	5
Lenep	56	114	71	56	49	68	62	30
Flad1	100	146	128	143	124	107	141	122
Cks1b	2368	2349	2340	2173	2062	2067	1866	1812
Shc1	277	203	260	300	206	192	248	241
Pygo2	809	739	812	763	693	772	878	619
Pbxip1	693	676	885	713	674	606	722	562
Pmvk	1010	884	850	869	671	813	797	746
Kcnn3	0	1	0	1	3	0	1	1
Adar	866	747	906	749	704	641	728	632
Chrnb2	7	8	3	16	6	5	1	8
4632404H12Rik	26	70	47	27	36	23	52	39
Ube2q1	1814	1521	1626	1552	1786	1505	1537	1496
She	31	30	23	37	18	41	33	29
Il6ra	69	69	95	71	115	126	79	72
Gm46811	3	2	0	0	3	0	8	0
Atp8b2	274	221	236	220	257	258	255	202
LOC115489840	0	1	0	6	0	4	0	0
Hax1	200	199	236	312	114	113	151	172
Gm19710	9	0	0	3	0	0	0	1
Ubap2l	5389	5365	5426	5506	5056	5255	5766	4957
Gm24608	0	0	0	0	0	0	0	0
Mir7669	0	0	0	0	0	0	0	0
4933434E20Rik	719	561	785	722	799	787	726	716
1700094D03Rik	181	140	245	157	137	137	168	145
Mir190b	0	0	0	0	0	0	0	0
Tpm3	12104	13584	13230	12416	11738	11235	12469	10434
Nup210l	18	25	37	23	33	12	43	14
Gm34865	269	293	437	261	332	285	226	210
Gm23723	0	0	0	0	0	0	0	0
Gm24185	0	0	0	6	5	0	0	0
Rps27	9669	10521	10478	10881	9529	10633	10953	11175
Rab13	7	7	8	2	1	8	2	4
Jtb	1157	1211	1175	986	1148	960	1349	1184
Creb3l4	1	0	1	0	0	1	4	1
Slc39a1	881	797	746	931	742	813	1070	892
Crtc2	23	17	28	26	64	47	21	25
Dennd4b	513	574	679	572	515	565	489	440
Mir7012	0	0	0	0	0	0	0	0
Gatad2b	3173	3193	3259	2965	3124	3060	3174	2848
Slc27a3	26	32	30	14	56	15	16	25
Ints3	835	864	862	748	847	843	1004	776
Npr1	14	10	12	13	6	10	7	5
n-TMcat11	11	4	11	6	0	1	3	1
Ilf2	1643	1622	1830	1701	1754	1584	1457	1421
Snapin	245	234	271	214	190	215	222	233
Chtop	2962	2741	2808	3047	2654	2769	3117	2814
S100a1	32	64	58	58	44	56	58	53
S100a13	229	248	220	192	227	194	223	118
S100a14	11	11	10	18	10	7	11	13
S100a16	34	29	17	34	34	40	29	27
Gm24593	0	0	0	0	0	0	0	0
S100a3	0	0	0	0	1	1	0	0
S100a2	0	0	0	0	0	0	0	0
S100a4	36	38	24	40	32	34	24	25
S100a5	0	0	0	0	0	0	0	0
S100a6	470	508	474	472	382	424	441	416
S100a7a	0	0	0	0	0	0	0	0
S100a8	76	59	61	62	46	61	59	50
S100a9	35	47	52	47	27	35	43	31
Pglyrp4	0	0	0	0	0	0	0	0
4930529C04Rik	0	0	0	0	0	0	0	0
S100a7l2	0	0	0	0	0	0	0	0
Gm36323	0	0	0	0	0	0	0	0
Gm35185	0	0	0	0	0	0	0	0
Pglyrp3	0	0	0	0	0	0	0	0
Lor	2	5	4	4	6	2	4	3
Prr9	0	0	0	0	0	0	0	0
Lelp1	0	0	0	0	0	0	0	0
Gm35439	0	0	0	0	0	0	0	0
Sprr2a1	0	0	0	0	0	0	0	0
Sprr2a2	0	0	0	0	0	0	0	0
Sprr2a3	0	0	0	0	0	0	0	0
Sprr2b	0	0	0	0	0	0	0	0
Sprr2d	0	0	0	0	0	0	0	0
Sprr2e	0	0	0	0	0	0	0	0
Sprr2f	0	0	0	0	0	0	0	0
Sprr2g	0	0	0	0	0	0	0	0
Sprr2h	0	0	0	0	0	0	0	0
Sprr2i	0	0	0	0	0	0	0	0
Sprr2j-ps	0	0	0	0	0	0	0	0
Sprr2k	0	0	0	0	0	0	0	0
Sprr1b	0	0	0	0	0	0	0	0
Sprr3	2	1	1	2	2	0	1	1
Sprr1a	4	8	4	6	7	4	3	6
Sprr4	0	0	0	0	0	0	0	0
Ivl	0	0	0	0	0	0	0	0
Gm35639	0	0	0	0	0	0	0	0
Smcp	0	0	0	0	0	0	0	0
Lce6a	0	0	0	0	0	0	0	0
Gm35699	0	0	0	0	0	0	0	0
Lce1a1	0	0	1	1	0	0	0	1
Lce1b	0	1	1	1	0	0	1	1
Lce1a2	0	0	0	1	0	0	0	0
Lce1c	0	0	1	1	0	0	0	0
Lce1d	1	0	0	0	0	0	0	0
Lce1e	0	0	0	0	0	0	0	0
Lce1f	0	1	0	0	0	0	0	1
Lce1g	0	0	0	0	0	0	0	0
Lce1h	1	1	0	0	0	0	0	0
Lce1i	0	1	0	1	0	0	0	0
Lce1j	0	0	0	1	0	0	0	0
Lce1k	0	0	0	0	0	0	0	0
Kprp	0	0	0	0	0	0	0	0
Lce1l	0	0	0	1	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0
Lce3a	6	4	3	4	3	1	4	0
Lce3b	0	1	3	0	0	3	0	0
Lce3c	1	0	0	6	1	3	1	3
Lce3d	0	0	0	1	0	0	0	0
Gm22577	0	0	0	0	0	0	0	0
Lce3e	0	0	0	0	0	0	1	1
Lce3f	1	0	2	0	1	0	0	2
Crct1	2	3	1	1	0	3	1	0
Lce1m	0	1	0	0	0	0	0	0
Tdpoz8	0	0	0	0	0	0	0	0
Gm35785	0	0	0	0	0	0	0	0
Crnn	0	0	0	0	0	0	0	0
Flg2	0	0	0	0	0	0	0	0
Flg	0	0	0	0	0	0	0	0
Hrnr	0	0	0	0	1	0	0	0
Rptn	0	0	1	1	1	1	1	1
Tchh	0	2	0	2	0	1	0	0
Tchhl1	0	0	0	0	0	0	0	0
S100a11	471	525	557	580	439	435	501	349
S100a10	1161	1218	1275	1162	1124	1231	1210	1099
Gm40093	0	0	0	0	0	0	0	0
Tdpoz2	0	0	0	0	0	0	0	0
Tdpoz1	0	0	0	0	0	0	0	0
Tdpoz4	0	0	0	0	0	0	0	0
Tdpoz3	0	0	0	0	0	0	0	0
Tdpoz5	0	0	0	0	0	0	0	0
Tdpoz9	0	0	0	0	0	0	0	0
Tdpoz7	0	0	0	0	0	0	0	0
Spopfm2	0	0	0	0	0	0	0	0
Gm36010	3	0	0	0	0	0	0	0
Them4	121	189	177	220	101	175	155	157
Them5	0	0	0	0	1	0	1	1
C2cd4d	0	0	0	0	0	0	0	0
Gm38411	12	1	0	6	1	1	9	0
Rorc	14	12	11	0	1	7	19	7
Lingo4	0	1	0	11	1	1	2	4
1700040D17Rik	0	26	1	0	2	10	0	0
Tdrkh	146	134	143	150	133	103	82	84
Oaz3	0	0	5	0	0	0	0	0
Mrpl9	837	780	933	789	869	734	833	790
Riiad1	6	7	8	3	10	2	13	14
Celf3	0	0	0	1	0	0	0	0
Snx27	2084	2117	2106	2200	1784	2003	2075	1794
Tuft1	23	49	63	40	24	61	110	55
BC021767	1	0	1	0	1	1	0	0
Selenbp2	0	0	0	0	0	0	0	0
Gm52626	0	0	0	0	0	1	1	0
Cgn	28	22	30	30	43	26	22	22
Gm40094	1	0	1	0	0	0	0	0
Pogz	426	377	456	519	460	493	417	387
Psmb4	6114	6581	6741	5883	5061	6380	6241	5834
Gm36237	0	0	0	0	0	0	0	0
Selenbp1	92	72	67	71	48	78	76	50
Rfx5	298	233	218	287	246	255	187	225
B230398E01Rik	14	21	8	25	13	15	25	11
Pi4kb	98	70	59	95	79	76	53	63
Zfp687	264	252	278	288	269	244	305	183
Mir7013	0	0	0	0	0	0	0	0
4930481B07Rik	80	34	81	34	54	56	50	27
Psmd4	7562	6095	7588	6371	6584	6106	7121	6046
Pip5k1a	4981	4918	4840	4537	4099	4122	5020	4365
Gm24920	38	15	35	11	24	13	62	31
Gm22301	0	0	0	0	0	0	0	0
Vps72	377	367	463	375	329	340	378	229
Tmod4	5	16	8	1	13	12	0	6
Scnm1	413	296	281	319	299	242	319	226
Lysmd1	62	98	121	113	106	88	67	65
Mir8099-1	0	0	0	0	0	0	0	0
Tnfaip8l2	53	52	107	63	54	104	93	72
Sema6c	0	0	5	0	0	2	0	1
Gabpb2	1608	1436	1706	1614	1540	1471	1776	1435
Gm16740	15	20	12	14	11	23	6	16
Mllt11	305	329	309	349	274	286	335	271
Cdc42se1	1552	1591	1710	1792	1902	1782	1527	1688
Gm128	3	2	6	2	8	0	0	0
Bnipl	0	0	0	0	0	3	0	0
Prune1	186	318	231	247	153	240	225	165
Mindy1	137	111	134	211	96	120	128	88
Anxa9	46	42	50	36	32	23	25	28
LOC115489748	0	0	0	0	0	0	0	0
Cers2	1830	1856	1997	1719	1957	2050	2170	1886
Setdb1	542	601	631	726	667	547	500	495
4930558C23Rik	0	0	0	0	0	0	0	0
Gm4349	0	0	0	0	0	0	0	0
Arnt	282	278	285	307	293	297	294	246
Ctsk	15	6	21	18	21	12	10	9
Gm40096	0	0	0	0	0	0	0	0
Ctss	433	448	536	544	478	474	569	542
Hormad1	0	0	0	0	0	0	0	0
Gm40097	0	0	0	0	0	0	0	0
Golph3l	358	239	333	327	273	213	268	256
Ensa	497	497	580	542	549	500	438	404
Mcl1	4339	4450	4510	4286	4291	4413	4652	3928
Gm52627	123	97	111	142	86	72	113	102
Adamtsl4	23	14	14	23	6	6	11	8
Ecm1	101	122	64	107	59	41	58	67
Mir7014	0	0	0	0	0	0	0	0
Tars2	619	627	596	490	534	597	671	590
Rprd2	1059	964	1037	1096	969	834	828	867
Gm26361	0	0	0	0	0	0	0	0
Gm29948	15	5	40	29	17	16	23	32
Prpf3	1668	1685	1811	1651	1603	1540	1727	1624
Mrps21	178	305	241	203	215	216	228	251
C920021L13Rik	0	1	0	15	0	0	0	0
Ciart	249	206	293	322	177	147	133	127
BC028528	29	16	46	51	43	37	28	29
Aph1a	472	372	546	415	484	342	452	390
Car14	2	2	6	0	3	4	1	3
Gm46815	26	14	8	10	9	15	22	10
Anp32e	4966	4850	5239	5076	4746	5051	5025	4215
Gm9054	0	0	0	0	0	0	0	0
Plekho1	250	158	216	170	143	116	207	129
Vps45	120	116	197	84	86	109	110	91
Gm30044	0	0	0	0	3	0	3	0
Otud7b	887	840	1010	871	696	778	761	669
Mtmr11	6	19	3	7	2	8	4	0
Sf3b4	1831	1458	1799	1653	1760	1821	1703	1827
Gm22027	30	18	11	14	19	24	29	13
Sv2a	75	64	80	58	91	99	39	47
Bola1	403	418	390	455	309	375	350	384
H2ac21	4	0	0	33	7	0	9	9
H2ac20	806	693	937	755	539	507	339	322
H2bc21	18	26	48	15	18	60	29	14
H3c15	0	0	0	0	0	3	3	0
H2ac19	0	0	0	0	0	0	0	0
H2ac18	0	0	0	0	0	0	0	0
H3c14	0	0	10	0	4	7	0	0
Gm20627	0	0	0	0	0	0	0	1
H4c14	37	24	69	27	28	19	37	29
H3c13	127	74	95	61	86	112	71	44
H2bc18	151	210	237	119	106	135	112	90
Fcgr1	14	6	7	7	5	9	5	11
n-TNgtt4	73	202	178	140	123	105	109	76
Gm24830	7	0	1	9	0	0	6	1
n-TVcac10	16	8	13	5	0	1	12	11
n-TNgtt5	306	166	301	196	179	145	235	168
n-TQctg5	42	86	90	40	73	41	100	53
Platr30	0	0	0	0	0	0	0	0
n-TEttc3	0	0	0	0	0	0	0	0
Gm26553	0	0	0	0	0	0	0	0
n-TGccc5	0	0	0	0	0	0	0	0
Rnu1b1	0	0	0	0	0	0	0	0
Rnu1b2	0	0	0	0	0	0	0	0
Gm26689	0	0	0	0	0	0	0	0
n-TGccc1	0	0	0	0	0	0	0	0
n-TEttc2	0	0	0	0	0	0	0	0
n-TQctg4	6	8	13	2	13	10	13	0
Gm26654	16	9	41	13	6	24	37	1
n-TNgtt10	0	0	0	0	0	0	0	0
n-THgtg6	11	4	0	5	4	1	1	3
Terc	29	37	45	9	38	24	26	17
Gm24136	0	0	0	0	0	0	0	0
n-TGccc6	5	5	5	0	22	1	0	21
n-TKctt15	14	1	3	6	0	0	20	0
BC107364	0	0	0	0	0	0	0	0
n-THgtg2	37	20	10	9	35	5	10	5
Gm26232	0	0	0	0	0	0	0	0
LOC115489800	0	0	0	0	0	0	0	0
n-TNgtt11	0	0	0	0	0	0	0	0
n-THgtg7	0	0	0	0	0	0	0	0
Gm10685	0	0	0	0	0	0	0	0
n-THgtg9	0	0	0	0	0	0	0	0
Gm40099	0	0	0	0	0	0	0	0
n-TNgtt13	0	0	0	0	0	0	0	0
Rnu1b6	0	0	0	0	0	0	0	0
n-THgtg1	0	0	0	0	0	0	0	0
n-TQctg3	4	11	0	2	0	2	19	5
Gm25890	0	0	0	0	0	0	0	0
Gm22614	0	0	0	0	0	0	0	0
n-TNgtt12	6	57	31	9	43	49	29	32
n-TKctt16	105	50	66	94	81	30	42	47
n-THgtg8	44	23	31	17	4	22	47	37
n-TGtcc7	4	14	20	1	9	3	24	3
n-TEctc13	26	23	17	30	11	14	14	19
Gm40100	0	0	0	0	0	0	0	0
Hjv	0	0	0	0	1	0	0	2
Gm15441	3	0	0	0	0	0	0	1
Txnip	805	887	943	703	482	547	606	472
Polr3gl	135	111	78	107	52	79	95	101
Ankrd34a	0	0	1	0	9	1	0	0
Gm52628	0	0	7	0	0	7	0	0
Lix1l	5	2	4	8	4	7	1	6
6330549D23Rik	35	36	33	18	20	39	41	16
Rbm8a	16940	14151	16534	15073	14314	14369	15632	13966
Pex11b	272	155	327	311	239	244	157	277
Itga10	36	38	32	23	23	36	20	24
Ankrd35	0	0	0	0	0	1	0	0
Pias3	115	131	81	108	46	92	98	86
Nudt17	3	0	6	0	0	0	0	0
Polr3c	725	728	838	726	711	740	746	660
Gm22581	27	69	35	79	40	60	78	66
Rnf115	648	566	633	631	708	641	635	607
Cd160	150	121	125	188	130	114	236	167
Pdzk1	9	1	7	12	19	0	3	1
4930442L01Rik	0	0	0	0	0	0	0	0
Gpr89	1560	1263	1489	1453	1337	1258	1506	1113
Gja8	0	0	0	0	6	0	13	0
Gja5	2	0	2	2	3	0	1	1
4930573H18Rik	0	0	0	0	0	0	0	0
Gm31120	0	0	0	0	0	0	0	0
Gm31183	0	0	0	0	0	0	0	0
Gm24435	0	0	0	0	0	0	0	0
n-TEctc12	97	91	57	124	59	97	66	87
Acp6	228	227	301	210	187	192	255	220
Bcl9	240	152	234	234	200	147	183	174
Gm40101	0	0	0	0	0	0	0	0
Olfr1402	0	0	0	0	0	0	0	0
Gm40102	0	0	0	0	0	0	0	0
Chd1l	2226	2054	2077	1590	1842	1622	1667	1497
Fmo5	2	11	12	4	0	8	7	8
Prkab2	198	255	278	169	217	165	172	174
Gm31242	95	83	82	57	53	64	62	51
n-TQctg2	36	36	34	19	23	11	17	22
Pde4dip	642	652	581	618	285	317	325	249
Mir7225	0	0	0	0	0	0	0	0
Gm31305	0	0	0	0	0	0	0	0
Gm46816	0	0	0	0	0	0	0	0
Sec22b	1000	769	1098	904	1013	1013	955	929
Gm5544	0	0	0	0	0	0	9	0
Notch2	529	628	552	835	637	751	649	498
Gm40103	1	0	0	0	0	0	0	0
Adam30	0	0	0	0	9	0	0	0
Gm40104	0	12	0	1	0	0	0	0
Reg4	0	0	0	0	0	0	0	0
Hmgcs2	1	2	3	0	2	0	5	2
Phgdh	821	1167	1061	1019	723	709	804	683
Gm31420	0	0	0	0	0	0	0	0
Gm52610	0	0	0	0	0	0	0	0
Zfp697	5	5	8	10	4	7	5	6
Gm4450	0	0	0	0	0	0	0	0
Hsd3b4	0	0	0	0	0	0	0	0
Gm10681	0	0	0	0	0	0	0	0
Hsd3b5	0	0	0	0	0	0	0	0
Hsd3b2	0	0	0	0	0	0	0	0
Hsd3b3	0	0	0	0	0	0	0	0
Hsd3b6	0	0	0	0	0	0	0	0
Hsd3b1	0	0	0	0	0	0	0	0
Hao2	0	0	0	0	0	0	0	0
Gm31880	0	0	0	0	0	0	0	0
Gm12440	0	0	0	0	0	0	0	0
Gm40105	0	0	0	1	0	1	0	1
Gm22341	0	0	0	0	0	0	0	0
Wars2	250	196	258	192	252	246	172	181
Mir6481	0	0	0	0	0	0	0	0
Gm38468	0	16	2	2	0	1	0	0
Tbx15	0	0	0	0	1	0	0	0
Gm46817	0	0	0	0	0	0	0	0
Gm52611	0	0	0	0	0	0	0	0
Gm22505	0	0	0	0	0	0	0	0
Spag17	3	3	1	2	4	2	2	1
Wdr3	5558	4794	5191	4936	5135	4546	5119	4562
Gdap2	440	384	435	325	350	436	422	325
Gm25802	0	0	0	0	0	0	0	0
Gm32471	0	0	0	0	0	0	0	0
4930406D18Rik	0	0	0	0	0	0	0	0
Gm38530	0	0	0	8	0	0	0	0
Tent5c	42	8	2	4	52	4	17	6
Gm40106	0	0	0	0	0	0	0	3
Gm12474	0	0	0	1	6	0	0	0
Man1a2	20	14	34	11	45	22	25	14
Gm43464	0	0	0	0	0	0	0	0
Gm40107	0	0	0	0	0	0	0	0
Gm32720	0	0	0	0	0	0	0	0
Vtcn1	1	1	0	0	1	1	1	0
Gm40108	0	0	0	0	0	0	0	0
Trim45	0	0	0	0	0	1	0	1
Ttf2	88	54	74	43	37	82	35	52
Cd101	3	0	10	12	2	0	7	0
Ptgfrn	0	0	2	1	0	2	0	0
Gm52612	0	0	0	0	0	0	0	0
Cd2	0	0	0	0	0	0	0	0
Gm32803	0	0	0	0	0	0	0	0
Gm32900	0	0	8	0	0	0	0	0
Igsf3	74	72	48	107	28	38	55	67
Gm40109	0	0	0	0	0	0	0	0
Gm33162	0	0	0	0	0	0	0	0
Atp1a1	10298	9111	10702	9795	10430	10166	12959	9568
Gm33215	0	0	0	0	0	0	0	0
Gm33265	0	6	0	0	0	0	0	0
Gm33309	0	0	0	0	0	0	0	0
Mab21l3	0	2	0	0	0	0	1	0
Gm33381	0	0	0	0	0	0	0	0
Slc22a15	25	4	4	3	12	3	4	6
Nhlh2	0	0	0	0	0	0	0	0
Casq2	2	1	2	3	2	0	0	1
Vangl1	14	12	10	7	6	12	10	11
Gm16160	0	1	0	0	0	2	0	0
A230001M10Rik	0	0	0	0	0	0	0	0
Gm40110	0	0	0	0	0	0	0	0
Gm33679	0	0	0	0	0	0	0	0
Ngf	0	0	0	0	0	0	0	0
Gm46818	0	0	0	0	0	0	0	0
Gm40112	0	0	0	0	0	0	0	0
Tspan2os	0	0	0	0	0	0	0	1
Tspan2	19	12	11	26	35	17	8	23
Tshb	0	0	0	0	0	0	0	0
Sycp1	0	0	0	0	0	0	0	0
Nr1h5	0	0	0	0	1	0	0	0
Gm22826	0	0	0	0	0	0	0	0
Sike1	404	452	473	430	448	376	542	403
Csde1	8439	8713	8647	8158	8452	8521	8402	7684
Nras	2987	3358	3374	3213	3125	3221	3341	3061
Ampd1	2	10	1	5	0	0	7	1
Dennd2c	24	38	29	33	26	75	24	19
Bcas2	1819	1752	2080	1847	2145	1904	1904	1755
Gm40113	0	0	0	0	0	0	0	0
Trim33	669	693	685	693	599	673	585	541
Gm25869	0	0	0	0	0	0	0	0
Gm25199	0	0	0	0	0	0	0	0
Gm34049	0	0	1	0	0	0	0	0
Syt6	0	0	0	0	0	0	0	0
LOC115489852	0	0	0	0	0	0	0	0
LOC108168889	0	0	0	0	0	0	0	0
Olfml3	3	2	12	1	1	1	6	1
Hipk1	0	11	0	0	7	29	6	1
Gm15886	0	0	0	0	0	0	0	0
Dclre1b	1	2	1	0	3	2	0	3
Gm15471	0	0	0	0	0	0	0	0
Ap4b1	0	0	0	0	0	0	0	0
Bcl2l15	1	0	0	0	0	0	0	2
Ptpn22	209	156	204	141	199	202	158	141
Rsbn1	194	164	221	203	210	145	173	142
Phtf1os	1	0	0	3	0	13	4	7
Phtf1	2	0	0	0	2	1	4	6
Magi3	36	39	42	87	41	69	58	24
Gm5546	1	0	0	0	0	0	0	0
Gm38412	1	0	0	0	0	0	0	0
Lrig2	193	200	191	169	119	116	236	190
Gm34490	0	0	0	0	0	0	0	0
Gm26091	0	0	0	0	0	0	0	0
Slc16a1	4307	3815	4657	3985	4075	3829	4054	3264
Gm34548	0	0	0	0	0	0	0	0
Gm6485	107	87	94	61	84	128	129	85
Tafa3	10	1	0	0	0	1	9	0
Ppm1j	22	35	44	34	25	29	27	20
Rhoc	96	60	74	78	80	52	81	86
Mov10	70	87	92	80	72	75	112	30
Capza1	544	655	564	543	571	725	649	713
St7l	91	93	177	107	86	87	102	99
Wnt2b	0	1	1	1	0	0	0	0
Gm46819	0	0	0	0	0	0	0	0
Cttnbp2nl	32	28	16	27	27	22	30	23
Gm40116	0	0	0	0	0	0	0	0
4930564D02Rik	0	0	0	0	0	0	0	0
Gm40118	0	0	0	0	0	0	0	0
Gm34837	0	0	0	0	0	0	0	0
Kcnd3os	0	0	0	0	0	0	0	0
Kcnd3	0	0	0	0	0	0	0	0
Ddx20	1158	1088	1148	1090	1146	1116	1081	1118
Inka2	29	25	48	16	34	36	16	30
Rap1a	2045	1794	1766	1816	1710	1818	2261	1744
Gm5547	23	16	5	28	16	4	0	1
Gm46838	0	0	0	1	0	0	0	0
Tmigd3	0	0	0	0	0	0	0	0
Adora3	0	0	0	0	0	0	0	0
I830077J02Rik	5	6	0	3	1	1	3	2
Atp5pb	3832	3360	3592	3776	3217	3623	3704	3234
Wdr77	1795	1703	1916	1877	1769	1704	1967	1682
Ovgp1	24	39	31	37	54	37	24	18
Pifo	4	0	9	2	2	4	9	5
Chil5	0	0	0	0	0	0	0	0
Gm42722	17	22	0	11	0	2	9	19
Chia1	5	8	2	8	9	7	6	4
Chil3	68	65	57	69	60	65	67	80
Chil4	0	0	1	0	0	0	0	0
Chil6	0	0	11	4	3	0	0	0
2010016I18Rik	49	76	119	75	39	20	50	52
Dennd2d	2264	1943	2206	2060	1718	1600	1822	1806
Cept1	951	859	1117	1177	1026	1052	1123	1051
Dram2	121	146	168	139	152	166	207	128
Lrif1	635	656	661	693	578	565	535	505
Cd53	2979	3124	3134	3051	2707	2930	3194	3142
Olfr266	0	0	0	0	0	0	0	0
Gm35507	0	13	22	10	1	4	0	0
Gm27008	0	0	0	0	0	0	0	0
Kcna3	91	117	79	55	72	36	60	39
AI504432	1051	953	942	1107	887	763	971	685
Gm38712	9	2	7	23	1	4	3	0
Kcna2	14	5	12	23	21	4	10	9
Kcna10	0	0	0	0	0	0	0	0
Cym	0	0	0	0	0	0	0	0
A630076J17Rik	0	0	0	0	0	0	0	0
Prok1	0	0	6	0	0	0	0	0
Lamtor5	897	887	781	1070	906	921	999	802
Slc16a4	0	0	0	0	0	0	0	0
Rbm15	1361	1391	1286	1453	1163	1167	1339	1146
Gm35700	0	0	0	0	0	0	0	0
Gm40120	0	0	0	0	0	0	0	0
Kcnc4	0	0	0	1	0	0	0	0
Slc6a17	0	0	0	0	0	0	0	0
Gm36097	0	0	0	0	0	0	0	0
Ubl4b	0	0	0	0	0	0	0	0
Alx3	0	0	0	0	0	0	0	0
Strip1	480	418	445	364	365	295	404	342
Gm10961	2	0	2	0	0	1	0	7
Ahcyl1	1867	1874	1755	1899	1656	1738	1652	1633
Gm52629	81	66	112	130	79	84	95	62
Gm40121	0	0	0	0	0	0	0	2
Csf1	14	12	17	25	15	25	23	18
Eps8l3	0	0	0	0	0	0	0	0
4933431E20Rik	0	0	0	0	1	1	1	0
Gstm5	4	4	11	5	5	7	13	7
Gstm7	1	1	0	0	2	0	1	2
Gstm6	0	3	3	1	0	0	0	0
Gstm3	0	0	0	0	0	1	0	0
Gstm2	28	18	29	25	17	16	18	25
Gstm1	96	80	82	74	93	76	76	88
Gstm4	33	28	70	51	47	67	22	22
Gm36498	0	0	0	0	0	0	0	0
Gm25592	0	0	0	0	0	0	0	0
Ampd2	924	932	998	882	1025	884	1065	828
Gm12500	0	0	7	13	2	0	0	0
Gnat2	19	16	37	20	0	13	11	8
Gnai3	1193	1313	1152	1459	1181	1391	1399	1196
Gpr61	0	0	0	0	0	0	0	0
Gm40122	0	0	0	0	0	0	0	0
Amigo1	35	12	35	17	16	26	40	11
Cyb561d1	86	79	104	90	62	130	83	101
Atxn7l2	323	263	324	336	429	368	296	297
Sypl2	3	0	0	0	0	0	0	0
Psma5	1687	1660	1959	2099	1880	1962	1935	2106
Sort1	22	39	42	35	12	20	36	24
Mybphl	1	2	0	3	1	1	1	2
Gm12522	0	0	0	0	0	0	0	1
Psrc1	46	56	50	54	47	31	32	29
Celsr2	166	152	202	140	188	212	135	137
Gm52630	0	0	0	0	0	0	0	0
Sars	6383	6100	6113	5986	4308	4167	4333	3629
Gm22942	0	0	0	0	0	0	0	0
Elapor1	14	17	9	13	10	11	5	7
Gm23336	0	0	0	0	0	0	0	0
1700013F07Rik	1	1	0	2	1	1	1	1
Scarna2	0	0	3	9	3	1	0	1
Tmem167b	219	255	230	255	265	194	209	206
Taf13	184	229	212	187	226	274	185	128
Wdr47	140	83	108	137	104	96	94	126
Clcc1	1332	1203	1360	1319	1265	1123	1147	959
Gpsm2	55	55	60	68	33	29	43	30
Aknad1	0	0	0	1	0	0	0	0
Stxbp3	61	106	68	72	119	67	51	106
Fndc7	3	0	0	1	1	3	0	0
Prpf38b	6124	5513	5960	5289	5503	5150	5135	4675
Henmt1	16	0	3	12	1	12	0	0
Fam102b	411	318	464	409	598	573	462	485
Gm43221	0	0	0	0	0	0	0	0
Gm36778	0	0	0	0	0	0	0	0
Slc25a54	0	0	0	0	0	0	0	0
Gm19391	0	0	0	0	0	0	0	0
Slc25a24	0	0	0	0	0	0	0	0
Vav3	0	0	0	0	0	0	0	0
Ntng1	0	0	0	0	0	0	0	0
Gm25681	8	0	0	0	0	0	1	0
Prmt6	381	301	441	288	299	462	478	405
Gm26076	0	0	0	1	0	0	0	0
Gm6602	0	0	0	0	0	0	0	0
Gm25519	0	0	0	0	0	0	0	0
Amy2b	0	0	0	0	0	0	0	0
Amy2a5	0	0	0	0	0	0	0	0
Amy2a4	0	0	0	0	0	0	0	0
Amy2a3	0	0	0	0	0	0	0	0
Amy2a2	0	0	0	0	0	0	0	0
Amy2a1	0	0	0	0	0	0	0	0
Amy1	0	0	1	0	0	1	1	0
Rnpc3	988	763	899	948	883	753	956	721
Col11a1	0	0	0	0	0	0	0	0
Gm23750	0	0	0	0	0	0	0	0
Olfm3	0	0	0	0	0	0	0	0
Gm22337	0	0	0	0	0	0	0	0
Gm40124	0	0	0	0	0	0	0	1
S1pr1	181	202	216	153	155	162	161	145
