"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","ctrl_5","tx_1","tx_2","tx_3","tx_4","tx_5"
"Adora1",0,0,8,22,0,18,50,0,0,0
"Prim2",57,21,51,69,29,67,85,94,119,100
"Sntg1",0,1,0,0,0,0,0,0,0,0
"Cflar",1386,1145,1268,1252,1270,2114,1952,1901,1461,2020
"Adgrb3",0,0,0,0,0,0,0,0,0,0
"Obsl1",10,0,0,0,0,0,0,9,19,0
"Gpr39",0,0,0,8,0,0,0,0,0,0
"1700112H15Rik",0,0,0,0,0,0,0,0,0,0
"Pld5",0,0,0,0,0,0,0,0,0,0
"Syt14",0,0,0,0,0,0,0,0,0,0
"Lmx1a",0,0,0,0,0,0,0,0,0,0
"A830018L16Rik",0,0,0,0,0,30,0,0,0,3
"Cpa6",0,0,0,0,0,0,0,0,0,0
"Lactb2",0,59,0,0,0,22,18,11,12,36
"Efhc1",20,0,0,0,0,0,0,0,0,0
"Khdrbs2",0,0,0,0,0,0,0,0,0,0
"Lonrf2",0,0,0,0,0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,0,0,0,0,0,0
"Actr1b",62,120,169,107,157,114,270,187,138,277
"Dnah7b",0,0,0,0,0,0,0,0,0,0
"Gpr45",0,0,0,0,0,0,0,0,0,0
"Pgap1",168,230,193,230,119,344,198,299,173,158
"Dnah7a",0,0,0,0,0,0,0,0,0,0
"Plcl1",66,66,73,20,102,100,224,145,23,137
"Pard3b",90,137,256,121,234,146,173,151,78,132
"Bmpr2",316,176,148,70,194,224,209,265,127,369
"Spag16",0,0,0,8,0,0,0,0,0,0
"Abca12",0,0,0,0,0,0,0,0,0,0
"Xrcc5",38,55,17,74,84,103,156,243,79,182
"Usp37",108,69,46,87,218,137,205,156,31,155
"Erbb4",0,0,0,0,0,0,0,0,13,0
"D530049I02Rik",0,0,0,0,0,0,0,0,0,0
"Pinc",0,0,0,0,0,0,0,0,0,0
"Dock10",1651,1702,805,1269,1401,1607,1637,1342,1099,1391
"Dis3l2",117,42,44,33,65,22,81,101,112,86
"Sh3bp4",40,79,89,1,41,284,204,234,262,470
"Ugt1a9",0,0,0,0,0,0,0,0,0,0
"Ugt1a10",0,0,0,0,0,0,0,0,0,0
"Slc16a14",2,0,0,0,0,0,0,0,0,0
"Pask",23,0,99,1,3,2,17,142,0,0
"Serpinb12",0,0,0,0,0,0,0,0,0,0
"Cdh20",0,0,0,0,0,0,0,0,0,0
"Cntnap5a",0,0,0,0,0,0,0,0,0,0
"Cdh7",0,0,0,0,0,0,0,0,0,0
"Dpp10",59,28,71,0,0,0,45,37,17,9
"Clasp1",136,145,93,206,171,163,177,236,88,96
"Rab3gap1",454,626,954,381,643,487,835,878,592,706
"Mapkapk2",967,1055,5465,504,1022,2175,1719,5041,1501,2699
"Cdk18",0,0,6,0,0,0,0,53,0,17
"Thsd7b",0,0,0,0,0,0,0,0,0,0
"Rnpep",372,178,711,179,183,586,273,828,182,544
"Camsap2",271,189,508,413,390,377,194,365,322,170
"Aspm",125,74,215,146,102,37,131,1,27,6
"Kcnt2",0,0,0,0,0,0,0,0,11,0
"Pla2g4a",27,68,136,0,49,221,155,107,6,55
"Brinp3",0,0,0,12,0,0,0,0,0,0
"Cdc73",270,398,216,136,265,443,299,274,86,411
"1700025G04Rik",446,325,553,302,360,397,339,326,328,390
"Nmnat2",13,0,0,0,0,27,0,0,0,0
"Brinp2",20,0,0,0,0,0,0,0,0,0
"Stx6",259,310,94,61,132,304,155,391,322,168
"Rasal2",313,228,0,155,276,176,227,230,89,220
"Rcsd1",874,1098,1477,973,880,2110,1360,2166,1554,1905
"Rabgap1l",1582,1369,1196,950,1078,1330,1524,1446,830,1729
"Rgs7",0,0,0,0,0,0,0,0,0,0
"Fcrla",403,553,518,61,229,604,489,495,359,649
"Cnih3",0,0,0,0,0,0,0,0,0,0
"Itpkb",38,38,0,128,32,0,30,2,9,16
"Smyd3",113,1,326,59,35,41,148,234,96,126
"Akt3",221,167,233,387,456,315,304,462,61,217
"Trp53bp2",10,48,55,50,81,84,159,97,57,43
"Mir297c",0,0,0,0,0,0,0,0,0,0
"Esrrg",6,0,0,36,0,3,2,60,14,9
"Rps6kc1",70,47,247,19,22,174,124,192,236,125
"Ush2a",0,0,0,0,0,0,0,0,0,0
"Ptpn14",22,30,0,103,89,20,60,24,0,9
"Tgfb2",0,0,0,11,11,49,18,1,21,0
"A330023F24Rik",26,0,89,55,78,33,22,27,30,12
"Xkr4",0,0,0,0,0,0,0,0,0,0
"Rgs20",0,0,0,0,0,0,0,0,0,0
"Atp6v1h",61,227,29,99,113,248,246,138,175,278
"Rp1",0,0,0,0,0,0,0,0,19,0
"St18",0,0,0,0,0,5,0,0,28,47
"Adhfe1",0,26,0,0,0,0,0,0,0,0
"Arfgef1",443,610,480,520,537,633,525,666,348,350
"Mybl1",186,54,125,131,138,0,31,161,11,0
"Sgk3",380,426,395,243,299,385,518,329,111,317
"Cspp1",628,521,361,701,582,447,574,494,354,555
"Tcf24",0,0,0,0,0,0,0,0,0,0
"2610203C22Rik",0,54,5,0,0,0,0,0,0,0
"Mir467e",0,0,0,0,0,0,0,0,0,0
"Prex2",0,6,0,0,0,0,11,0,0,0
"Sulf1",29,12,8,44,8,0,23,17,0,0
"Ncoa2",270,423,65,338,234,165,211,287,157,399
"Slco5a1",756,498,524,461,534,1195,972,1091,962,1259
"Eya1",0,9,112,46,15,139,114,71,39,3
"Kcnb2",0,0,0,0,0,0,0,0,0,0
"Stau2",12,0,0,0,0,0,0,8,0,4
"Tceb1",413,549,248,238,324,448,653,521,317,439
"Rdh10",27,0,22,6,0,71,62,51,41,10
"Sbspon",0,0,0,13,0,0,0,0,0,0
"Jph1",0,83,0,20,0,54,0,0,6,0
"Gm16070",0,0,0,0,0,0,0,0,0,0
"Defb44-ps",0,0,0,0,0,0,0,0,0,0
"Tfap2d",0,0,0,0,0,0,0,0,0,0
"Pkhd1",0,0,0,0,0,0,0,0,0,0
"Kcnq5",0,0,4,15,0,0,0,0,0,0
"Rims1",0,0,0,0,0,0,0,0,0,0
"Smap1",692,827,603,148,520,1016,784,931,491,811
"Col19a1",0,0,0,43,0,0,0,0,0,0
"Col9a1",0,0,0,0,0,0,0,0,0,0
"Lgsn",0,0,0,0,0,0,0,0,0,0
"4931428L18Rik",0,0,0,0,0,0,0,0,0,0
"Gm29669",0,0,0,0,0,0,0,0,0,0
"Dst",309,222,230,766,475,242,199,140,74,299
"Ptpn18",1560,1429,2970,1143,1556,2866,3025,3545,3368,3119
"Plekhb2",1150,531,1680,939,773,1316,2297,1866,881,1635
"Fam178b",17,0,0,0,0,0,0,0,60,0
"Lman2l",63,17,133,56,31,107,98,81,44,53
"Uggt1",1349,999,2348,1008,1285,2382,2481,2961,1729,2334
"Mgat4a",61,204,49,246,107,270,329,270,133,345
"2010300C02Rik",34,0,0,0,0,9,8,80,29,0
"Tmem131",156,198,329,225,311,263,263,253,151,21
"Cnga3",0,18,0,0,0,0,2,1,0,0
"4930594C11Rik",306,224,40,731,486,75,84,38,138,49
"Inpp4a",16,80,74,4,11,55,29,37,41,38
"Mitd1",229,389,696,208,303,552,493,681,389,558
"Eif5b",4775,4853,4487,3675,4743,5778,5406,7085,4259,6785
"Aff3",424,332,711,807,430,274,299,341,102,226
"Rfx8",21,0,0,0,0,0,0,0,0,0
"Tbc1d8",500,616,732,150,287,823,938,914,740,962
"Npas2",0,0,1,0,0,0,0,0,0,0
"Map4k4",3459,3474,4158,3667,2927,4314,5575,4146,2982,4978
"Il1r2",271,234,516,16,112,340,496,595,329,627
"Il1r1",41,42,40,260,110,20,2,0,0,0
"Slc9a2",6,0,0,0,0,0,0,16,0,0
"Mrps9",242,339,419,276,368,313,492,484,338,453
"Nck2",58,239,49,39,55,165,85,127,55,163
"Uxs1",54,0,0,95,154,0,12,3,59,0
"Gulp1",0,0,0,0,0,0,32,21,0,14
"Ercc5",252,262,320,412,254,214,227,263,81,214
"Col5a2",0,0,0,0,16,20,0,15,0,45
"Dnah7c",0,0,0,0,0,0,0,0,0,0
"Tmeff2",0,0,37,0,0,0,29,0,0,0
"9330175M20Rik",0,0,0,4,0,0,0,0,0,0
"Myo1b",19,30,26,31,13,11,44,175,1,2
"Gls",636,458,413,676,707,739,802,758,690,774
"Stat4",66,151,276,28,221,241,305,269,254,357
"Asnsd1",461,410,369,143,425,642,505,1072,407,646
"Mfsd6",247,228,421,337,213,398,509,464,107,523
"Pms1",84,150,20,38,6,5,26,52,74,40
"Ccdc150",0,0,10,0,0,10,6,0,0,0
"Hecw2",38,6,29,61,0,0,0,9,12,9
"Boll",0,1,0,0,0,0,0,0,0,0
"Ankrd44",1475,1049,2633,491,1271,2782,2260,2518,1899,2584
"Rftn2",0,9,0,0,0,35,0,23,47,0
"9130227L01Rik",0,0,0,0,0,0,0,0,0,0
"9430016H08Rik",34,144,3,12,21,76,115,107,43,129
"Satb2",19,0,0,0,0,0,0,23,0,0
"Aox3",0,0,0,0,0,0,0,0,0,1
"Nif3l1",18,183,184,160,97,290,139,184,34,167
"Aox1",53,0,0,5,0,0,0,0,17,0
"Spats2l",0,0,7,11,0,0,0,0,0,0
"Ndufb3",1649,1352,2626,310,1153,2387,2679,3092,2356,2569
"Aox2",0,0,0,0,0,0,0,0,0,0
"Tmem237",11,0,0,0,2,9,83,23,12,2
"Stradb",42,0,67,0,9,116,42,99,73,25
"Abi2",183,199,26,291,114,190,190,327,149,449
"Ica1l",27,0,0,0,0,1,10,0,0,0
"Nbeal1",295,162,98,286,255,51,75,99,132,22
"Raph1",158,39,196,312,125,113,276,170,259,202
"Nrp2",745,699,787,602,385,1419,1359,1417,845,1122
"Adam23",1530,1200,1556,736,903,2127,1943,2800,2279,2413
"Zdbf2",0,0,0,0,0,0,0,34,0,0
"Ndufs1",239,356,272,157,340,376,393,289,415,323
"Mdh1b",0,0,0,0,0,0,0,0,0,0
"Plekhm3",265,554,155,147,207,387,202,233,105,345
"Klf7",132,153,242,130,211,174,266,229,269,244
"Pikfyve",272,50,107,73,116,164,228,107,115,197
"Unc80",0,0,0,0,0,0,0,0,0,0
"Acadl",734,818,1078,172,515,1534,1171,1964,801,1348
"Map2",38,0,148,1,26,89,22,0,39,76
"Rpe",143,92,232,14,38,280,185,318,221,201
"Ikzf2",265,381,201,523,360,159,187,127,86,195
"Bard1",176,67,168,19,0,14,64,83,24,17
"Vwc2l",0,0,0,0,0,0,0,0,11,0
"Atic",510,540,1946,556,508,598,949,1844,843,1120
"March4",0,0,0,0,0,0,0,0,0,0
"Smarcal1",117,41,88,140,99,135,86,176,260,127
"Tns1",350,512,447,261,335,512,452,650,221,663
"6030407O03Rik",0,0,0,0,0,0,0,0,0,0
"Pnkd",243,123,95,85,114,370,267,194,447,353
"Nhej1",5,4,4,0,0,34,1,0,0,57
"Des",65,19,57,0,42,49,61,141,63,115
"Zfp142",55,0,47,32,68,60,76,239,67,222
"Epha4",0,22,0,40,8,19,0,0,9,0
"Mogat1",0,0,2,0,0,0,0,0,0,3
"Sgpp2",0,0,0,0,0,0,1,0,0,0
"Pax3",0,0,0,0,0,0,0,25,0,0
"Serpine2",0,0,0,0,1,33,0,0,36,0
"Nyap2",0,0,0,0,0,0,0,0,0,0
"Rhbdd1",99,111,206,98,177,198,159,224,55,138
"Col4a4",0,0,0,0,0,1,0,0,0,0
"Col4a3",0,0,0,0,0,0,0,0,0,0
"Sphkap",0,0,0,0,0,0,0,0,0,0
"Dner",0,0,0,0,0,0,0,0,0,0
"Trip12",1221,1216,1607,1115,1448,1409,1671,1344,967,1763
"Pid1",624,516,853,257,441,973,715,1665,751,1166
"Sp110",447,545,572,368,435,499,484,709,313,377
"A630001G21Rik",114,197,225,138,158,180,89,87,138,67
"Armc9",21,24,55,27,32,0,42,3,18,14
"Psmd1",935,888,936,520,631,1223,1311,1563,608,1387
"Usp40",114,180,92,540,88,129,287,286,167,138
"Inpp5d",1473,992,1600,792,777,1154,1103,1628,910,1275
"Gigyf2",2018,1888,1613,2640,2112,1383,1939,1355,967,1539
"Efhd1",0,0,0,0,0,0,0,0,0,0
"Sag",0,0,0,42,0,0,31,0,0,19
"Ngef",0,0,0,0,0,0,1,56,0,0
"Ugt1a5",0,0,0,18,5,0,0,0,0,0
"Ugt1a6b",0,0,0,0,0,0,0,0,0,0
"Ugt1a2",0,0,0,0,0,0,0,0,0,0
"Ugt1a6a",0,0,0,0,0,0,0,0,0,0
"Trpm8",0,0,0,0,0,0,0,0,0,0
"Ugt1a7c",0,0,0,0,0,0,0,0,0,0
"C030007H22Rik",0,0,0,0,0,0,0,0,0,0
"Agap1",108,102,99,38,114,90,121,69,184,233
"Iqca",13,2,0,3,2,0,0,0,0,0
"Rab17",0,0,0,0,0,0,0,122,0,0
"Lrrfip1",3740,4049,6627,4002,3789,2833,2999,3355,1913,3643
"Col6a3",62,67,0,103,59,61,24,121,16,19
"Hdac4",309,185,341,170,162,375,323,294,273,222
"Klhl30",11,0,16,0,0,0,0,0,0,0
"Kif1a",66,17,55,4,132,42,82,61,176,127
"Crocc2",0,0,0,0,0,0,0,0,0,0
"Thap4",107,6,26,7,117,77,207,248,119,273
"D2hgdh",64,139,90,20,59,149,31,103,102,62
"Farp2",13,18,0,31,0,0,0,38,0,0
"Hdlbp",968,677,1130,746,401,868,785,1121,749,674
"Slco4c1",0,0,0,0,0,0,0,0,0,0
"Slco6c1",0,0,0,0,0,0,0,0,0,0
"Slco6b1",0,0,0,0,0,0,0,0,4,0
"B230216N24Rik",47,0,0,27,19,0,17,11,0,0
"Gin1",28,79,167,0,156,74,44,38,0,10
"D1Ertd622e",129,178,260,22,44,176,146,454,197,332
"Slco6d1",0,0,0,0,0,0,0,0,0,0
"Pam",72,78,0,94,231,17,56,36,1,19
"Cntnap5b",0,0,0,0,0,0,0,0,0,0
"Pign",88,107,59,100,113,60,37,190,56,108
"Bcl2",903,1198,715,660,536,856,964,708,758,947
"Phlpp1",123,97,13,206,43,111,159,117,245,134
"Gm20753",0,0,0,0,0,0,0,0,0,0
"Gli2",0,0,0,0,0,5,0,0,0,0
"Ptpn4",14,32,16,249,63,29,15,13,0,0
"Cfap221",0,0,0,0,0,0,0,0,0,0
"Sctr",0,0,0,0,0,0,32,0,0,0
"Ccdc93",214,71,234,164,35,176,125,262,189,208
"Celrr",0,0,0,0,0,0,0,0,0,0
"Slc35f5",78,7,8,22,0,57,60,20,14,9
"Nckap5",0,83,0,69,40,0,64,29,0,0
"Tmem163",21,0,43,98,34,127,108,93,50,84
"Mgat5",0,97,51,154,138,48,31,0,10,0
"Ccnt2",343,277,512,196,346,799,458,767,450,638
"Lct",0,0,0,0,0,0,0,0,0,0
"Zranb3",0,49,83,0,0,1,23,79,3,92
"R3hdm1",450,444,194,497,328,292,194,212,170,180
"Fcamr",0,0,0,0,0,0,0,0,0,0
"Cd55b",0,0,0,0,0,0,0,0,0,0
"C4bp-ps1",0,0,0,0,0,0,0,0,0,0
"Rassf5",1417,1286,1576,816,782,1851,1765,1812,1638,1913
"Srgap2",600,151,359,457,337,629,463,604,291,509
"Cntn2",0,0,0,0,0,0,0,0,1,0
"Nfasc",0,0,0,38,0,0,0,0,0,15
"Lrrn2",0,0,22,41,0,8,12,0,0,40
"Tmcc2",164,30,182,160,173,284,154,566,360,583
"Lemd1",0,0,0,0,0,0,0,0,0,0
"Plekha6",13,9,0,0,7,0,34,66,22,0
"Kdm5b",99,87,113,248,347,124,171,126,167,229
"Ptpn7",1086,997,546,600,600,752,828,550,419,521
"Tmem183a",358,406,553,478,554,291,553,419,258,441
"Klhl12",35,70,76,0,3,20,68,120,64,0
"Syt2",12,0,0,0,0,0,0,0,0,0
"Ppp1r12b",65,30,99,198,79,13,90,7,25,98
"Lgr6",0,0,0,0,0,0,0,0,0,0
"Ipo9",202,111,160,305,176,310,335,309,132,474
"Nav1",1098,1004,660,587,895,1033,1230,1238,1060,1154
"Mroh3",0,0,0,0,0,0,0,0,0,0
"Platr22",0,0,0,0,0,0,0,0,0,0
"Ptprc",4685,5109,4233,4118,5482,4369,3655,4254,2544,4800
"Atp6v1g3",0,0,0,0,0,0,0,43,37,0
"Nek7",441,447,486,299,566,511,378,475,443,317
"Crb1",0,0,0,0,0,0,0,0,0,0
"Dennd1b",298,384,246,471,337,428,274,282,319,166
"Gm5833",0,0,0,0,0,0,0,0,0,0
"Cfh",0,36,10,0,5,0,0,13,88,12
"Gm4788",0,0,0,0,0,0,0,0,0,0
"Cfhr2",0,0,0,0,0,0,0,0,0,0
"4930590L20Rik",0,0,0,0,0,0,0,0,0,0
"Uchl5",204,495,222,109,83,629,496,417,192,391
"Hmcn1",0,40,7,2,26,0,41,0,26,24
"Ptgs2os",0,0,0,0,0,0,16,0,2,0
"2310030A07Rik",0,0,0,0,0,0,0,0,0,0
"Swt1",409,655,416,385,462,396,518,297,260,336
"Edem3",93,207,123,26,199,126,89,156,139,110
"Fam129a",758,473,845,304,517,1134,1340,1147,1017,1185
"Colgalt2",2,0,12,0,0,0,18,0,0,0
"Ncf2",667,552,868,158,466,1219,1165,1997,775,1563
"Rgl1",179,671,574,226,310,622,489,724,339,547
"Lamc1",22,0,7,40,29,82,61,79,19,68
"Dhx9",1043,838,470,710,917,1040,898,975,580,851
"Cacna1e",372,302,202,452,309,124,170,99,75,141
"Lhx4",0,0,0,0,0,0,0,0,0,0
"Xpr1",276,316,314,259,309,438,329,211,149,407
"Fam163a",0,0,0,0,0,0,0,0,0,0
"Acbd6",324,177,757,78,211,467,445,705,708,389
"Ralgps2",298,1015,460,1187,963,570,912,173,412,327
"Abl2",311,374,413,301,487,268,371,202,241,141
"Sec16b",0,0,0,0,0,24,14,0,0,0
"2810025M15Rik",186,268,513,101,248,590,581,731,645,657
"Rfwd2",236,390,288,85,82,223,146,237,238,354
"Pappa2",0,0,0,0,0,4,0,0,0,7
"Astn1",0,0,0,0,0,47,0,0,0,0
"Tnr",7,0,0,0,0,0,81,0,26,48
"Rc3h1",470,440,284,569,299,390,325,270,407,340
"Dnm3",0,28,0,0,1,0,16,0,28,0
"Suco",729,694,1133,827,680,951,850,975,912,1295
"2810442N19Rik",0,0,0,0,0,0,0,0,0,0
"Mroh9",0,0,0,0,0,0,0,0,0,0
"Fmo6",0,0,0,0,0,0,0,0,0,0
"BC055324",57,111,164,76,44,51,179,164,83,129
"Nme7",15,12,46,49,38,36,20,50,100,54
"Kifap3",181,79,51,120,51,179,234,107,328,183
"Mettl11b",0,0,0,0,0,0,0,0,0,0
"Tbx19",0,0,0,0,0,0,0,0,0,0
"Dcaf6",486,384,235,870,527,385,470,489,561,312
"Adcy10",0,0,0,0,0,0,0,0,0,0
"Cd247",272,216,354,75,150,298,406,445,185,196
"Pou2f1",495,498,754,366,849,550,541,542,324,771
"Mgst3",0,0,0,0,0,0,0,14,0,0
"Uck2",274,108,127,0,125,247,237,304,341,358
"Gm16701",0,0,0,0,0,0,0,0,0,0
"Pbx1",142,264,148,259,54,197,271,170,171,298
"Olfml2b",0,0,0,0,0,0,0,1,0,0
"Nos1ap",84,52,0,211,61,158,52,0,47,8
"Atf6",386,389,304,164,377,337,355,518,253,487
"Ddr2",17,44,54,12,0,31,51,0,48,0
"Pcp4l1",0,0,0,0,0,0,0,0,0,35
"Cd244",226,171,298,38,190,350,268,354,186,213
"Cd48",447,572,265,45,84,451,309,466,273,546
"F11r",379,285,552,334,517,899,583,1524,935,993
"Atp1a4",0,0,0,0,0,0,0,0,0,0
"Kcnj10",0,0,0,29,9,0,41,7,0,0
"Copa",1363,1013,1364,440,751,1350,1423,1766,859,1733
"Igsf9",422,139,668,216,139,635,599,664,459,635
"Mptx2",0,0,0,0,0,0,0,0,0,0
"Ifi203",1847,2321,648,754,1643,635,1058,733,542,748
"Fmn2",0,0,0,0,0,0,0,0,0,0
"Spta1",0,0,0,0,0,0,0,0,0,0
"Grem2",0,0,0,0,0,0,0,0,0,0
"Kmo",850,914,1753,679,664,871,1133,1160,799,1056
"Wdr64",0,0,0,0,0,0,0,0,0,0
"Exo1",21,35,1,11,0,0,0,48,0,15
"Sdccag8",430,372,738,539,533,547,552,536,336,539
"1700016C15Rik",0,0,0,0,0,0,0,0,17,0
"Gm16432",0,0,0,0,0,0,0,0,0,0
"Kif26b",0,0,0,16,0,0,0,0,0,6
"Cnst",227,89,162,95,87,52,202,398,99,73
"Cdc42bpa",59,23,19,46,48,0,0,33,28,48
"Ephx1",272,215,184,82,104,302,220,306,252,214
"Nvl",371,216,223,294,257,225,235,168,292,172
"Acbd3",611,951,596,536,881,777,579,995,898,917
"Enah",12,8,24,37,108,88,13,161,76,60
"Fbxo28",206,358,159,242,269,325,238,429,221,296
"Disp1",97,64,26,97,135,24,165,346,138,60
"Susd4",0,0,0,0,23,0,0,0,0,0
"Capn8",14,0,0,0,0,0,0,0,0,0
"Rab3gap2",121,206,85,84,151,85,33,44,25,44
"Bpnt1",61,93,107,14,91,97,64,41,14,9
"Mark1",0,0,2,0,0,0,0,0,0,0
"Slc30a10",0,0,0,0,1,0,0,0,0,0
"A730004F24Rik",0,0,0,0,0,0,0,0,0,0
"Spata17",0,0,0,0,0,0,0,0,0,0
"Gpatch2",309,590,260,449,409,136,213,175,114,200
"Kcnk2",0,0,0,0,0,0,0,0,0,0
"Cenpf",117,245,253,193,214,111,161,163,61,90
"Kctd3",64,30,60,0,71,26,27,19,29,62
"Batf3",709,590,1757,462,358,1288,1573,3041,1739,2379
"Vash2",0,0,0,1,0,0,0,0,0,14
"Lpgat1",435,498,159,408,446,171,201,241,131,239
"Ppp2r5a",407,968,624,508,483,468,572,920,355,739
"Traf5",351,305,431,44,224,418,505,594,373,600
"Kcnh1",0,0,0,0,0,0,0,17,0,0
"Hhat",0,11,2,0,4,26,1,0,0,0
"Lamb3",0,0,15,0,0,0,2,72,34,5
"Traf3ip3",301,140,256,362,440,194,269,112,128,215
"Plxna2",113,54,11,45,30,0,0,0,24,2
"Cr2",1721,1782,1744,1890,1674,533,1236,782,534,895
"Sox17",0,65,0,0,0,0,0,0,0,0
"Mrpl15",378,164,344,380,263,438,581,462,184,644
"Lypla1",103,185,128,1,75,229,309,185,118,188
"Tcea1",86,28,19,0,36,58,54,61,53,120
"Oprk1",0,0,0,0,0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0,0,0,0,0
"Rb1cc1",1141,815,920,859,1083,769,687,472,379,468
"Fam150a",0,73,0,0,0,26,54,0,7,3
"Pcmtd1",329,341,398,573,476,221,433,391,198,268
"Rrs1",485,413,336,135,339,394,429,356,380,344
"3110035E14Rik",0,0,0,0,0,0,0,0,0,0
"1700034P13Rik",0,0,0,0,0,0,0,0,0,0
"Vcpip1",551,443,511,255,632,535,484,595,416,544
"Snord87",0,0,0,33,9,0,0,47,0,55
"Mcmdc2",0,0,22,0,0,4,0,0,0,0
"Snhg6",23,57,0,0,1,29,33,11,10,12
"Cops5",379,466,933,137,472,954,819,1431,873,1252
"Ppp1r42",0,0,0,0,0,0,0,0,0,0
"Mir6341",0,0,0,0,0,0,0,0,0,0
"Gm17644",0,0,0,0,0,0,0,0,0,0
"Prdm14",0,0,0,0,0,0,0,0,0,0
"Tram1",481,633,328,278,249,679,682,657,339,727
"Xkr9",0,0,0,0,0,3,0,0,19,0
"Gm5523",0,3,2,1,0,1,1,4,47,3
"Msc",0,0,73,43,0,33,16,118,63,102
"Trpa1",0,0,0,0,0,0,0,0,0,0
"Terf1",238,183,217,217,198,102,188,153,208,105
"4930444P10Rik",0,0,0,0,0,21,0,0,0,0
"Rpl7",6425,7500,16019,3281,5432,13731,12493,17640,10384,15231
"Ube2w",102,147,206,193,156,93,180,227,101,154
"Ly96",55,98,57,60,89,164,107,133,81,145
"Tmem70",340,456,358,43,158,498,418,540,480,336
"D030040B21Rik",0,0,0,0,0,0,0,0,0,0
"Gdap1",0,0,0,0,0,0,0,0,0,0
"Pi15",0,0,0,0,0,0,0,0,0,0
"Crispld1",1,0,0,0,0,0,0,0,0,0
"Crisp4",0,0,0,0,0,0,0,0,0,0
"Defb18",0,0,0,0,0,0,0,0,0,0
"Defb41",0,0,0,0,0,0,0,0,0,0
"Tfap2b",0,30,0,91,0,108,44,109,8,22
"4930486I03Rik",0,0,0,0,0,0,0,0,0,0
"Linc-md1",0,0,0,0,0,0,0,0,0,0
"Mir206",0,0,0,0,0,0,0,0,0,0
"Mir133b",0,0,0,0,0,0,0,0,0,0
"Mcm3",1187,623,2255,544,553,1254,934,1805,885,1346
"Il17f",0,0,0,0,0,0,0,0,0,0
"Il17a",0,0,0,0,0,0,7,0,0,0
"6720483E21Rik",0,0,0,0,0,0,0,0,0,0
"Paqr8",48,0,25,0,0,0,3,0,0,16
"Tram2",0,0,0,0,0,0,0,6,0,0
"Tmem14a",26,51,124,69,110,91,87,73,60,30
"Gsta3",0,0,0,0,0,0,0,0,0,0
"Khdc1a",23,62,15,0,9,35,25,0,24,73
"Gm4956",19,0,63,0,0,97,38,41,17,34
"Khdc1b",0,0,14,0,26,0,0,0,0,0
"Khdc1c",0,0,0,0,0,0,0,0,0,0
"4933415F23Rik",0,0,0,0,0,0,0,0,0,0
"Mir30a",0,0,0,0,0,0,0,0,0,0
"Mir30c-2",0,0,0,0,0,0,0,0,0,0
"Ogfrl1",2988,2499,3109,1032,1904,5136,3907,4594,2893,5615
"B3gat2",0,0,0,0,0,0,0,0,0,0
"Fam135a",86,0,107,23,2,59,23,53,23,1
"Sdhaf4",138,47,221,54,137,343,222,287,221,109
"Lmbrd1",351,593,417,263,614,464,427,565,308,411
"Gm20172",0,1,0,0,0,0,0,0,0,0
"4931408C20Rik",0,0,0,0,0,13,0,0,0,0
"Gm597",0,0,0,0,0,0,0,0,0,0
"Mir6342",0,0,0,0,0,0,0,0,0,0
"Phf3",1354,1964,1453,1774,1396,1529,1572,1446,858,1596
"Gm13363",0,0,0,0,0,0,0,0,0,0
"Ptp4a1",72,45,69,13,0,100,174,37,99,200
"Gm4850",0,0,0,0,0,0,0,0,0,0
"Pih1d3",0,0,0,0,0,0,0,0,0,0
"Gm9839",0,0,0,0,0,0,0,0,0,0
"Gm5415",0,0,0,0,0,0,0,0,0,0
"1700001G17Rik",0,0,0,0,0,0,0,0,0,0
"Zfp451",108,401,139,175,193,202,208,158,54,186
"Rab23",100,0,0,0,0,22,37,60,10,1
"Bag2",2,59,9,0,0,0,19,6,14,0
"Gm15455",0,8,0,0,0,0,0,0,0,0
"Bend6",0,0,29,0,0,56,23,87,8,0
"Mir6896",0,0,0,0,0,0,0,0,0,0
"Imp4",145,277,518,140,140,674,526,590,386,382
"Mir5103",11,0,0,0,0,0,0,0,0,0
"Ccdc115",401,651,620,63,162,521,423,600,677,667
"Prss40",0,0,0,0,0,0,0,0,0,0
"Amer3",0,0,0,0,0,0,0,0,0,0
"Cfc1",0,0,0,0,0,0,0,0,0,0
"Prss39",0,0,0,0,0,0,0,0,0,0
"AA619741",0,0,0,0,0,0,1,0,0,0
"Fam168b",1147,1244,2073,620,995,1883,1918,2294,1794,2107
"Arhgef4",0,29,85,38,0,29,0,102,27,71
"Mir6897",0,0,0,0,0,0,0,0,0,0
"Hs6st1",155,175,132,17,55,135,104,293,40,126
"Neurl3",374,513,782,311,451,850,1399,1265,598,1047
"Fer1l5",0,0,0,0,0,0,0,0,0,0
"Arid5a",340,503,1186,174,182,598,656,1060,215,808
"Mir6898",0,0,0,0,0,0,0,0,0,0
"Kansl3",803,483,1058,319,270,812,819,1764,743,1012
"Cnnm3",123,93,499,19,50,461,332,234,390,197
"Sema4c",527,398,894,207,466,705,694,1391,686,1164
"Cnnm4",49,36,5,25,43,18,52,191,33,208
"Ankrd39",46,34,550,49,104,152,161,20,208,68
