gene	ctrl_01	ctrl_02	ctrl_03	ctrl_04	tx_01	tx_02	tx_03	tx_04
Gm40246	2	0	1	3	0	1	1	0
Gm32611	0	0	0	0	0	0	0	0
Gm40245	0	0	0	0	0	0	0	0
Gm40244	0	0	0	0	0	0	0	0
Gm46869	0	0	0	0	0	0	0	0
Gm32696	0	0	0	0	0	0	0	0
Gm40247	0	0	0	0	0	0	0	0
Gm32756	0	0	0	0	0	0	0	0
Grik3	0	0	0	0	0	0	0	0
Mir692-2	0	0	0	0	0	0	0	0
Gm32807	0	0	0	0	0	0	0	0
Gm40249	0	0	0	0	0	0	0	0
2610028E06Rik	0	0	0	0	0	0	0	0
Gm32908	0	0	0	0	0	0	0	0
Csf3r	1	0	0	0	1	1	2	0
Mrps15	2988	2813	3139	3335	2732	3031	2724	2706
Oscp1	171	140	149	142	159	135	133	138
Lsm10	475	465	527	614	435	512	450	454
Stk40	2569	2460	2742	2806	2444	2824	2520	2443
Eva1b	242	196	200	252	192	249	217	262
Sh3d21	76	64	70	53	54	80	51	50
Thrap3	11820	11861	11947	12689	9939	11971	10966	10820
Gm25323	2	0	0	3	0	2	1	4
Map7d1	4298	4207	4444	4622	4019	4675	4066	4104
Trappc3	1588	1557	1675	1890	1444	1610	1509	1545
Col8a2	1	0	0	1	0	1	1	0
Adprhl2	1870	1789	1930	1942	1600	1724	1625	1667
Tekt2	21	8	18	12	16	26	16	14
Ago3	1562	1449	1309	1303	1450	1551	1333	1434
Ago1	3686	3876	3813	3748	3400	3983	3814	3551
Ago4	4	0	6	1	3	3	3	3
Clspn	5565	5590	5919	6155	4765	5835	5419	5170
Mir7119	0	0	0	0	0	0	0	0
5730409E04Rik	7	9	13	9	17	18	9	8
Gm40250	0	0	0	0	0	0	0	0
Gm46870	0	0	0	0	0	0	0	0
Psmb2	6516	6238	6724	7035	5624	6656	5975	5840
Tfap2e	1	1	2	0	2	0	0	1
Ncdn	3368	3135	3359	3728	2920	3138	2923	3034
AU040320	1736	1660	1826	1781	1554	1864	1723	1520
Gm24161	0	0	0	0	0	0	0	0
Gm25604	8	2	4	8	6	0	6	2
Zmym4	2024	2117	2265	2210	1929	2124	2053	1864
Sfpq	37432	36590	39548	40293	32403	38160	34254	34664
Zmym1	322	340	315	358	301	349	321	277
Zmym6	540	601	609	564	598	680	571	505
Gm25600	2	0	2	2	1	2	1	1
Tmem35b	163	185	163	180	150	175	144	132
Dlgap3	17	14	12	12	11	11	9	11
Gm52707	0	0	0	0	0	1	0	1
Smim12	678	643	674	662	498	639	538	565
Gm22221	0	0	0	0	0	0	0	0
Gja4	0	2	0	0	1	1	0	0
Gjb3	0	0	0	0	0	0	0	0
Gm40251	0	0	0	0	0	0	0	0
Gjb4	0	0	0	0	0	0	0	0
Gjb5	0	0	0	0	0	0	0	0
Gm40252	0	0	0	0	0	0	0	0
1700080G11Rik	0	0	0	0	0	0	0	0
LOC115486416	0	0	0	0	0	0	0	0
Gm40255	0	0	0	0	0	0	0	0
Gm40256	0	0	0	0	0	0	0	0
CK137956	0	0	0	0	0	0	0	0
Gm38571	0	0	0	0	0	0	0	0
Csmd2	4	4	1	1	3	5	0	4
Csmd2os	0	0	0	0	0	0	0	0
Hmgb4	0	0	0	0	0	0	0	0
Hmgb4os	0	0	0	0	0	0	0	0
Gm33656	0	0	0	0	0	0	0	0
Zscan20	21	20	29	22	22	28	29	25
Tlr12	15	11	14	12	16	18	19	14
Gm12958	0	0	0	0	0	0	0	0
Phc2	1746	1644	1882	1819	1581	1704	1579	1493
Gm33712	2	1	2	0	3	1	1	0
A3galt2	0	0	0	0	0	1	0	0
Zfp362	57	40	40	47	33	54	46	45
Gm52679	7	4	3	1	3	9	1	4
Gm33814	0	0	0	0	0	0	0	0
Gm33760	0	0	0	0	0	0	0	0
Trim62	40	38	42	52	51	43	35	31
Gm33901	0	0	0	0	0	0	0	0
LOC115489376	0	0	0	0	0	0	0	0
Azin2	1	0	1	0	1	0	0	0
Gm15904	0	0	0	0	0	0	0	0
Ak2	2326	2275	2524	2599	2161	2481	2170	2264
1700086P04Rik	3	3	6	3	3	9	4	6
Rnf19b	543	563	637	703	602	653	550	618
Tmem54	0	0	0	0	0	0	0	0
Hpca	1	0	0	0	1	0	0	0
Fndc5	1	0	0	0	0	0	0	0
S100pbp	243	243	256	258	240	237	247	248
Yars	479	441	429	475	433	469	391	428
C77080	0	0	1	1	0	0	0	0
Gm12976	0	0	0	0	0	0	0	0
Sync	1	1	0	1	0	0	0	2
Rbbp4	3598	3622	4046	4174	3273	3735	3445	3390
Zbtb8os	318	320	370	340	291	317	299	300
Zbtb8a	25	20	19	13	17	23	24	15
LOC108168979	16	11	10	11	11	9	13	13
C330020E22Rik	0	0	0	0	0	0	0	0
Zbtb8b	0	1	2	0	1	3	1	0
Bsdc1	16	14	13	10	6	7	5	9
Tssk3	0	1	0	0	0	0	0	0
Fam229a	0	0	0	0	0	0	0	0
Marcksl1	523	485	534	581	496	543	451	485
Hdac1	3094	3104	3144	3455	2721	2990	2786	2868
Lck	3177	2958	3148	3185	2889	3346	3067	2947
Mir8119	2	2	2	1	0	2	0	0
Fam167b	0	1	0	6	1	1	3	2
Eif3i	1455	1407	1522	1567	1184	1416	1328	1301
Tmem234	515	466	484	539	440	511	441	378
Dcdc2b	54	57	46	43	47	66	35	58
Iqcc	474	457	544	506	430	520	468	413
Ccdc28b	75	75	83	61	69	64	61	46
Gm34305	144	146	141	143	124	140	116	138
Txlna	1995	1884	2013	2134	1774	1926	1874	1812
Kpna6	482	522	516	484	423	484	464	427
Tmem39b	281	235	260	265	222	236	208	220
Mir7016	1	0	0	1	0	1	0	1
Khdrbs1	2080	2130	2063	1951	1907	2179	1884	1879
Ptp4a2	1942	1987	2071	2257	1837	2111	1838	1916
1700108I11Rik	1	0	1	0	1	1	0	2
E330017L17Rik	0	0	0	0	0	0	0	0
Spocd1	0	0	0	1	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	0	0
Adgrb2	2	2	3	6	3	13	1	7
Gm12963	0	0	0	0	0	0	0	0
Col16a1	0	0	0	0	0	0	0	0
Gm46871	0	0	0	0	0	0	0	0
Gm40258	0	0	0	0	0	0	0	0
Pef1	0	3	1	0	0	1	0	0
Hcrtr1	0	0	0	0	0	0	0	0
Gm40259	0	0	0	0	0	0	0	0
Tinagl1	0	0	0	0	0	0	0	0
Gm52490	0	0	0	0	0	0	0	0
Ldc1	1	1	0	0	0	0	0	0
Gm46724	0	0	0	0	0	0	0	0
Serinc2	0	0	0	0	0	0	0	0
Gm34957	0	0	0	0	0	0	0	0
Gm10570	0	0	0	0	0	0	0	0
Fabp3	0	0	0	0	0	0	0	0
Zcchc17	455	441	492	561	381	473	373	444
Gm35074	0	0	0	0	0	0	0	0
Snrnp40	2	0	0	0	0	0	1	1
Nkain1	3	1	3	3	0	1	1	0
Pum1	17	22	10	29	12	14	16	20
Gm52489	0	0	0	0	0	0	0	0
Snord85	0	0	0	0	0	0	0	0
Gm24091	0	0	0	0	0	0	0	0
Gm23711	0	0	0	0	0	0	0	0
Gm12972	0	0	0	0	0	0	0	0
Sdc3	0	0	0	0	0	0	0	0
Gm42316	0	0	0	0	0	0	0	0
Gm22660	0	0	0	0	0	0	0	0
Gm35294	0	0	0	0	0	0	0	0
Gm38599	0	0	0	0	0	0	0	0
Laptm5	4	0	1	3	3	1	2	2
Matn1	0	0	0	0	0	0	0	0
LOC108168713	0	0	0	0	0	0	0	0
A930031H19Rik	0	0	0	0	0	0	0	0
Gm42317	0	0	0	0	0	0	0	0
Gm35482	0	0	0	0	0	0	0	0
Gm42318	0	0	0	0	0	0	0	0
Gm25261	0	0	0	0	0	0	0	0
Gm35634	0	0	0	0	0	0	0	0
Gm46723	0	0	0	0	0	0	0	0
Gm35779	0	0	0	0	0	0	0	0
Gm831	0	0	0	0	0	0	0	0
Gm42320	0	0	0	0	0	0	0	0
Gm42321	0	0	0	0	0	0	0	0
Ptpru	27	32	32	30	37	36	21	22
Gm52680	0	0	0	0	0	0	0	0
Mecr	1919	1774	1860	1924	1832	2003	1709	1723
Srsf4	1911	1816	1860	1966	1665	1889	1776	1668
Gm12992	39	36	50	51	54	42	39	49
Tmem200b	5	2	3	1	6	4	5	6
Epb41	6213	6303	6338	6954	5151	6108	5798	5556
Gm36157	14	8	8	11	14	14	22	10
Oprd1	2	3	4	3	4	6	2	2
n-TAcgc3	0	0	0	0	0	0	0	0
Ythdf2	4516	4499	5022	5319	4128	4591	4137	4112
Rps15a-ps4	57	57	74	71	65	54	56	67
Gmeb1	1672	1619	1659	1859	1615	1737	1554	1617
Gm28874	172	147	134	173	174	210	180	166
Rnu11	0	1	1	0	0	0	1	0
Taf12	1873	1897	2124	2041	1674	1952	1777	1719
Rab42	43	36	51	33	31	30	30	27
Snhg12	1957	1705	1849	1991	1731	1680	1541	1662
Snora16a	215	148	200	245	217	159	151	184
Snora44	98	60	84	66	94	66	50	51
Snora61	108	68	114	94	101	113	83	88
Snord99	191	140	158	142	188	188	132	134
Trnau1ap	1567	1420	1605	1629	1294	1398	1408	1394
Rcc1	8719	7817	8604	9252	7020	7805	7150	7495
Snhg3	1979	1763	1803	1963	1998	1869	1611	1810
Snora73b	533	509	595	621	560	559	530	615
Snora73a	582	495	547	572	578	602	579	575
Phactr4	1147	1117	1273	1271	997	1192	1036	1097
Med18	525	542	568	536	483	563	528	502
Sesn2	721	714	695	734	611	678	616	689
n-TAagc8	0	0	0	0	0	0	0	1
Atpif1	2525	2298	2667	2651	2276	2529	2255	2289
Dnajc8	6432	6211	6704	7155	5345	6343	5652	5761
Gm24762	4	9	3	6	9	8	13	3
Ptafr	1	1	0	0	1	4	1	2
Eya3	4341	4130	4388	4675	3545	4162	3853	3825
Xkr8	211	195	213	214	174	221	214	193
Smpdl3b	100	99	93	114	91	102	89	98
Rpa2	5239	4862	5294	5677	4440	5100	4681	4510
Themis2	64	70	73	60	59	70	60	62
Ppp1r8	3604	3421	3796	4121	3039	3581	3154	3325
Gm22767	8	7	9	4	7	2	8	5
Stx12	1857	1832	2009	2037	1644	1899	1708	1752
Fam76a	1011	942	1049	1109	940	975	992	953
Gm36518	0	0	0	0	0	0	0	0
Fgr	25	23	31	21	15	32	27	21
Gm36599	0	0	0	0	0	1	0	0
Ahdc1	719	709	742	656	675	880	803	753
Gm26615	11	3	4	2	2	6	4	6
n-TGgcc1	0	0	0	0	0	0	0	0
Wasf2	7232	7569	7732	7659	6179	7392	6908	6556
Mir7017	0	0	2	0	2	0	0	1
Gpr3	2	5	8	6	2	4	7	2
Cd164l2	1	0	0	0	1	2	0	0
Map3k6	38	27	31	44	34	41	38	32
Sytl1	468	495	579	470	426	527	442	477
Tmem222	1507	1484	1584	1625	1320	1478	1413	1435
Wdtc1	1976	1862	1950	2060	1886	2340	2176	2096
Slc9a1	2345	2218	2332	2337	1943	2305	2147	2061
Mir5122	0	0	0	0	0	0	0	0
1700091J24Rik	1	0	0	0	0	0	0	0
Gm42322	0	0	0	0	0	0	0	0
Tent5b	1	0	0	1	1	0	0	0
Gm13257	0	0	0	0	0	0	0	0
Trnp1	1	1	1	1	2	2	4	0
Gm42323	0	0	0	0	0	0	0	0
Kdf1	4	4	4	4	1	2	4	5
Nudc	9736	8731	9504	10394	8069	9096	8155	8416
Nr0b2	0	0	0	1	0	0	0	0
Gpatch3	329	339	345	342	339	341	317	325
Gpn2	1396	1267	1403	1523	1210	1300	1247	1245
Gm42324	1	2	3	3	2	0	6	1
Sfn	963	855	894	941	861	1094	928	934
Zdhhc18	10355	9710	10380	9821	9292	10711	9967	9261
Pigv	651	622	645	567	604	695	606	548
Arid1a	11369	11194	11161	11167	9649	11519	10544	10414
Mir7227	1	0	0	0	0	0	0	0
Gm30019	2	1	1	4	0	0	0	2
Gm29942	0	0	0	0	0	0	0	0
Gm34296	1	2	0	0	1	0	0	0
Gm25270	0	0	0	0	0	0	0	0
Gm12974	0	1	0	1	1	1	0	0
Rps6ka1	7544	7240	7749	7985	6272	7462	6679	6500
Gm12977	14	13	4	11	13	9	11	10
Hmgn2	4765	4808	5378	5352	3808	4525	4163	4111
Dhdds	2386	2462	2576	2798	2158	2540	2315	2273
Lin28a	1	0	0	0	0	1	1	0
Crybg2	278	306	354	326	294	372	339	349
Cd52	5910	5831	6926	6591	5395	6775	5931	5647
Ubxn11	771	696	759	722	654	748	706	711
Sh3bgrl3	4582	4349	4633	4980	3884	4734	4368	4155
Cep85	2325	2288	2385	2423	2015	2403	2222	2115
Zpld2	1	0	0	0	0	0	0	0
Catsper4	0	1	0	0	1	0	0	2
Cnksr1	8	7	20	7	16	6	14	14
Zfp593	422	366	448	410	364	443	336	392
E130218I03Rik	1	0	1	1	0	1	1	1
Gm30191	0	0	0	0	0	0	0	0
Grrp1	3	1	3	1	2	3	3	4
Gm42325	1	0	0	0	0	0	0	0
Pdik1l	1594	1629	1694	1658	1327	1586	1469	1367
Trim63	0	0	0	0	0	0	0	0
Slc30a2	38	52	50	55	41	56	40	61
Extl1	46	46	36	39	37	54	41	49
Pafah2	265	216	272	251	225	240	246	233
Gm30453	0	0	0	0	0	0	0	0
1700021N21Rik	0	0	0	0	0	0	0	0
Stmn1	2442	2297	2558	2688	2180	2627	2298	2274
Paqr7	523	492	524	500	477	573	539	454
Aunip	1182	1015	1215	1232	1017	1188	992	1056
Mtfr1l	1312	1295	1405	1509	1199	1328	1158	1178
Selenon	192	209	214	207	197	220	194	168
Man1c1	26	29	25	33	15	31	18	19
Mir6403	0	0	1	0	1	1	0	0
Gm42326	0	1	0	0	0	2	0	1
Ldlrap1	813	812	858	895	745	949	838	838
Maco1	1560	1578	1761	1883	1582	1685	1605	1609
Rhd	21	12	19	15	11	21	17	12
Tmem50a	3209	3248	3526	3682	2865	3305	3041	3075
Rsrp1	9932	7515	7632	7473	9918	9593	8026	7186
Syf2	2462	2191	2626	2800	1959	2292	2103	2146
Gm42327	0	0	0	0	0	0	0	0
Gm16225	0	0	0	0	0	0	0	0
Runx3	8	10	7	6	7	9	10	10
Clic4	742	709	738	803	489	628	538	579
Gm30767	2	1	0	3	2	2	0	0
Gm30701	0	0	0	0	0	0	0	0
Gm12984	0	0	1	0	0	0	0	0
Srrm1	16698	16836	17254	18587	14313	17038	15877	15380
Ncmap	3	1	2	5	7	8	2	6
Rcan3	1212	1164	1227	1333	1178	1361	1233	1154
Mir700	0	0	1	0	1	1	0	1
Nipal3	780	798	881	862	733	850	830	679
Stpg1	1	5	1	1	1	1	0	0
Grhl3	10	12	1	4	7	6	17	13
Gm30888	0	0	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0	0	0
Gm30941	0	0	0	0	0	0	0	0
Ifnlr1	1	1	2	0	1	1	0	0
Il22ra1	0	0	1	0	0	0	0	0
Myom3	0	0	0	0	0	0	0	0
Srsf10	7630	7481	8279	8729	7414	7786	7158	7237
Pnrc2	2901	2911	3284	3323	2734	3175	3040	2904
Cnr2	237	217	226	212	208	257	255	235
Fuca1	1437	1298	1395	1361	1245	1365	1257	1249
Hmgcl	1403	1383	1485	1552	1333	1517	1353	1336
Gale	1521	1408	1521	1634	1706	1912	1788	1711
Lypla2	4245	3807	4210	4511	3744	4132	3767	3764
Pithd1	2735	2365	2708	2976	2334	2592	2347	2380
Eloa	5126	4988	5272	5688	4657	5143	4539	4729
LOC115489947	3	2	6	3	5	6	4	2
Rpl11	14151	13302	14909	15360	12446	14290	13170	12879
Gm42329	3	1	1	3	1	0	3	2
Id3	482	458	598	505	410	500	461	463
E2f2	3818	3844	3924	3854	3625	4168	3769	3678
Asap3	48	55	54	46	30	36	37	36
Tcea3	0	2	0	1	0	1	1	0
Zfp46	592	565	653	670	462	546	558	540
Hnrnpr	6025	6160	6663	7182	5542	6346	5745	5668
9130020K20Rik	664	394	328	244	697	636	477	321
Gm31295	0	0	0	0	0	0	0	0
Htr1d	0	0	0	0	0	1	0	0
Luzp1	1186	1187	1213	1209	1024	1081	1095	1119
Kdm1a	3316	3209	3477	3786	2799	3410	3103	2930
Tex46	0	0	0	0	0	0	0	0
Lactbl1	3	2	0	2	0	1	0	5
Ephb2	51	63	51	52	43	71	62	45
Gm52708	0	1	1	0	2	0	0	0
Gm31536	2	0	1	1	0	0	0	1
C1qb	0	0	1	0	1	0	0	0
C1qc	0	0	0	0	0	0	0	0
C1qa	0	0	0	0	0	0	0	0
Epha8	1	0	3	0	1	1	0	0
Zbtb40	1789	1606	1648	1654	1609	1707	1571	1604
Gm23834	0	0	0	0	0	0	0	0
Gm31648	0	0	0	0	0	0	0	0
Gm13001	0	0	0	0	0	0	0	0
Gm31762	0	0	0	0	0	0	0	0
Gm13003	0	0	0	0	0	0	0	0
Gm46872	0	0	0	0	0	0	0	0
Gm31820	0	0	0	0	0	0	0	0
Wnt4	0	0	0	1	0	0	0	0
Cdc42	18055	18471	20411	21883	17023	19271	18020	17781
Gm52681	99	68	77	68	103	100	61	75
Cela3a	0	0	0	0	0	0	0	0
Cela3b	0	0	0	0	0	0	0	0
Gm13010	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0
Hspg2	4	9	13	4	12	5	9	7
Mir7018	0	0	0	0	0	0	0	0
Ldlrad2	0	0	1	0	0	0	0	0
Usp48	5890	5935	6039	6159	5461	6142	5568	5480
Rap1gap	21	18	6	12	15	15	10	14
Rap1gapos	0	0	0	0	0	0	0	0
Gm52682	1	0	0	0	0	0	0	1
Alpl	49	45	46	41	36	47	38	42
Gm32079	0	0	0	0	0	0	0	0
Ece1	1755	1639	1753	1719	1717	1860	1722	1802
Gm13012	116	103	124	135	91	128	105	105
Gm52683	0	2	0	0	0	0	0	0
Eif4g3	9750	9574	9504	9884	8642	9873	8895	9003
1700095J12Rik	0	0	1	0	0	0	0	1
Mir6399	0	1	0	0	2	1	0	1
Hp1bp3	7985	8128	8952	8682	6716	8188	7567	6965
Sh2d5	256	197	263	235	240	233	258	245
Kif17	13	4	4	7	8	6	11	7
Ddost	7992	7651	8436	8644	6797	7828	7012	7201
Pink1	489	466	539	541	384	474	431	442
Mir7019	0	1	0	0	0	2	0	0
Cda	0	0	0	0	0	0	0	0
Fam43b	0	0	0	0	0	0	0	0
Mul1	866	785	835	879	696	801	700	765
Camk2n1	49	48	55	44	37	37	37	40
Gm32549	0	0	0	0	0	0	0	0
Vwa5b1	0	0	0	0	0	0	0	0
Gm32662	0	0	0	0	0	0	0	0
Gm32770	0	0	0	0	0	0	0	0
Ubxn10	0	0	0	0	0	0	0	0
Pla2g2c	0	0	0	0	0	0	0	0
LOC115489908	0	0	0	0	0	0	0	0
Pla2g2f	0	0	0	0	0	0	0	0
Gm42332	0	0	0	0	0	1	0	0
Gm32871	0	0	0	0	0	0	0	0
Pla2g2d	0	0	0	0	0	0	0	0
Pla2g5	0	1	0	0	0	0	0	0
Pla2g2a	0	0	0	0	0	0	0	0
Gm32930	0	0	0	0	0	0	0	0
Gm13030	0	0	0	0	0	0	0	0
Pla2g2e	0	0	0	1	0	0	0	0
Otud3	786	642	729	739	617	736	682	643
Gm33011	0	0	0	0	1	0	0	0
Gm52684	0	0	0	0	0	1	1	0
Gm42333	3	6	1	6	7	3	6	4
Rnf186	1	1	0	0	0	1	1	0
Tmco4	3454	3295	3562	3647	3063	3697	3251	3204
Gm33214	50	52	64	53	48	62	67	52
Htr6	1	1	0	1	1	1	0	1
Nbl1	25	25	32	31	22	26	25	27
Micos10	3171	3230	3449	3599	3050	3520	3090	3087
Gm33304	0	1	1	0	0	0	0	0
Gm16287	3	3	1	4	0	2	4	2
Capzb	12842	12532	13558	14340	11178	13234	12320	11593
Slc66a1	364	334	301	343	317	338	314	335
Akr7a5	655	640	718	693	605	694	582	557
Mrto4	4942	4666	5046	5403	4389	4710	4303	4466
Emc1	3194	2912	3098	3189	2905	3170	2821	2730
Ubr4	14010	13650	12517	11112	11652	13772	12468	12144
n-TVaac1	0	0	0	0	0	0	0	0
Iffo2	522	510	539	551	539	611	581	521
Aldh4a1	908	888	941	913	820	1051	918	957
Mir7020	0	0	0	0	0	0	0	0
Tas1r2	1	2	2	1	1	1	0	0
Gm42334	0	0	0	0	0	0	0	0
Pax7	0	0	0	0	0	0	0	0
Gm46873	0	0	0	0	0	0	0	0
Gm1667	0	0	0	0	0	0	0	1
4933427I22Rik	0	0	0	0	0	0	0	0
Klhdc7a	0	0	0	0	0	0	0	0
Mir2139	0	0	0	0	0	0	0	0
Igsf21	0	0	0	0	0	0	0	0
Gm52685	0	0	0	0	0	0	0	0
Gm13029	0	0	0	0	0	0	0	0
Gm33542	0	0	0	0	0	0	0	0
Gm9867	0	0	0	0	0	0	0	0
Gm33895	0	0	0	0	0	0	0	0
LOC115489911	0	0	0	0	0	0	0	0
Gm34074	0	0	0	0	0	0	0	0
Gm13016	0	0	0	0	0	0	0	0
Gm13017	0	0	0	0	0	0	0	0
Gm13021	0	0	0	0	0	0	0	0
Arhgef10l	11	14	12	8	10	13	18	15
Gm42335	0	0	0	0	0	0	0	0
Gm13025	4	3	1	1	0	0	0	0
Rcc2	14580	13635	14582	15115	11837	13505	12391	12119
Padi6	0	0	0	0	0	0	0	0
Padi4	0	0	2	2	2	1	2	4
Padi3	0	1	0	0	0	0	0	0
Gm52482	0	0	0	0	0	0	0	0
Gm13032	0	0	0	0	0	0	0	0
Padi1	0	0	0	0	0	0	0	0
4930515B02Rik	0	0	0	0	0	0	0	0
Padi2	47	65	65	61	55	57	53	49
Gm46719	0	0	0	0	0	0	0	0
Gm34375	1	1	0	0	0	0	0	0
Gm13031	0	0	0	0	0	0	0	0
Sdhb	6513	6430	7119	7313	5608	6549	6159	6011
Atp13a2	2196	2108	2208	2087	2066	2500	2226	2087
Mfap2	4	2	3	5	7	6	3	1
Crocc	1020	1097	1036	983	919	1160	972	887
Necap2	2098	1944	2118	2154	1856	2076	1895	1851
Spata21	1	1	1	1	1	0	0	2
Szrd1	7231	6770	7198	7990	6408	7083	6474	6643
Fbxo42	3395	3132	3281	3431	2691	3423	2964	2868
Cplane2	71	67	60	59	44	64	47	52
C630004L07Rik	0	0	0	0	0	0	0	0
Arhgef19	0	2	1	0	1	1	0	0
Gm52686	0	0	0	0	0	0	0	0
Gm13056	0	0	0	0	0	0	0	0
Epha2	6	4	7	1	5	8	4	8
Fam131c	0	0	0	0	0	0	0	1
Clcnka	0	0	0	0	0	0	0	0
Gm34693	0	0	0	0	0	0	0	0
Clcnkb	0	0	0	0	0	0	0	1
Hspb7	0	0	2	1	1	1	0	0
Srarp	0	0	1	0	0	1	0	0
Gm42337	2	1	3	0	2	4	4	2
Zbtb17	1584	1401	1609	1665	1343	1516	1406	1405
Spen	4581	4680	4246	4095	3783	4470	4026	4160
Gm4123	4	0	4	1	7	2	1	1
B330016D10Rik	56	35	51	47	53	43	37	42
Fblim1	1	0	0	2	1	0	0	0
Tmem82	1	0	0	2	1	1	1	0
AI507597	1	0	0	0	1	2	1	0
Slc25a34	1	2	2	1	0	1	0	0
Plekhm2	1082	1016	1098	1112	945	1105	1061	983
Ddi2	939	855	814	932	750	809	724	758
Rsc1a1	3	3	4	5	5	7	2	1
Gm34863	1	2	1	1	0	0	3	1
Agmat	0	0	0	0	0	0	0	0
Dnajc16	943	900	887	886	802	920	792	818
Casp9	604	601	696	688	575	718	661	646
Cela2a	0	0	0	0	0	0	0	0
Ctrc	0	0	0	0	0	0	0	0
Ctrcos	0	0	0	0	0	0	0	0
Gm35034	0	0	0	0	0	0	0	0
Efhd2	3629	3493	3723	3930	2869	3448	3081	3124
Gm46874	0	0	0	0	0	0	0	0
Fhad1os2	0	0	1	0	0	0	0	0
Fhad1	1	1	1	2	0	0	0	2
Gm42338	0	0	0	0	0	0	0	0
Gm35295	0	0	0	0	0	0	0	0
Fhad1os1	0	0	0	0	0	0	0	0
4930455G09Rik	0	0	0	0	0	0	0	0
Tmem51	0	0	0	0	0	0	0	0
Tmem51os1	0	0	0	0	0	0	0	0
Kazn	0	0	0	0	0	0	0	0
Gm35581	0	0	0	0	0	0	0	0
Gm35531	0	0	0	0	0	0	0	0
Gm46875	0	0	0	0	0	0	0	0
Gm42339	0	0	0	0	0	0	0	0
Gm35752	0	0	0	0	0	0	0	0
Gm42342	0	0	0	0	0	0	0	0
Gm42340	0	0	0	0	0	0	0	0
Gm42341	0	0	0	0	0	0	0	0
Prdm2	3631	3654	3726	3624	3235	3729	3360	3427
Mir7021	0	0	0	0	0	0	0	0
Gm22039	0	0	0	0	0	0	0	0
Gm52493	0	0	1	0	0	0	0	0
Pdpn	0	0	0	0	0	0	0	0
Lrrc38	0	0	0	0	0	0	0	0
Pramel1	0	0	0	0	0	0	0	0
Pramel12	0	0	2	0	0	0	0	0
Oog4	0	0	0	0	0	0	0	0
Gm13043	0	0	0	0	0	0	0	0
Gm13040	0	0	0	0	0	0	0	0
Gm13057	0	0	0	0	0	0	0	0
Pramel20	0	0	0	0	0	0	0	0
Pramel21	0	0	0	0	0	0	0	0
Pramel22	0	0	0	0	0	0	0	0
Pramel23	0	0	0	0	0	0	0	0
Pramel24	0	0	0	0	0	0	0	0
Pramel25	0	0	0	0	0	0	0	0
Pramel26	0	0	0	0	0	0	0	0
Pramel27	0	0	0	0	0	0	0	0
Pramel11	0	0	0	0	0	0	0	0
Pramel16	0	0	0	0	0	0	0	0
Pramel14	0	0	0	0	0	0	0	0
Pramel4	0	0	0	0	0	0	0	0
Gm13102	0	0	0	0	0	0	0	0
Oog3	0	0	0	0	0	0	0	0
Oog2	0	0	0	0	0	0	0	0
Pramel29	0	0	0	0	0	0	0	0
Pramel5	0	0	0	0	0	0	0	0
Pramel30	0	0	0	0	0	0	0	0
Pramel31	0	0	0	0	0	0	0	0
Pramel15	0	0	0	0	0	0	0	0
Pramel13	0	0	0	0	0	1	0	0
1700012P22Rik	0	0	0	0	0	0	0	0
Aadacl3	0	0	0	0	0	0	0	0
Aadacl4fm1	0	0	0	0	0	0	0	0
Aadacl4fm2	0	0	0	0	0	0	0	0
Aadacl4	0	0	0	0	0	0	0	0
Aadacl4fm4	0	0	0	0	0	0	0	0
AAdacl4fm3	0	0	0	0	0	0	0	0
Gm25938	0	0	0	0	0	0	0	0
Aadacl4fm5	0	0	0	0	0	0	0	0
Vps13d	2500	2560	2487	2171	1988	2544	2340	2125
Dhrs3	4	9	8	14	6	1	1	6
Gm42344	9	3	4	6	7	8	0	7
Gm36317	0	1	0	1	0	0	1	1
Tnfrsf1b	5459	5415	5977	5866	4793	5958	5423	5267
Gm36233	3	3	8	6	4	2	0	2
Tnfrsf8	697	739	719	848	613	670	655	668
Gm42346	0	0	0	0	0	0	0	0
Smarca5-ps	59	57	36	41	43	40	47	49
Zfp990	0	0	0	1	0	0	1	1
Gm13212	338	317	370	358	306	323	308	334
Zfp980	0	1	0	1	0	0	0	0
Gm26763	0	0	0	0	0	0	0	0
Znf41-ps	166	178	165	191	161	174	135	139
Gm13238	9	2	4	2	0	4	4	1
Gm13034	4	7	3	4	4	9	8	4
Zfp987	1	2	1	2	0	1	0	1
Zfp600	0	0	0	0	0	0	0	0
Gm13165	0	0	0	0	0	0	0	0
Zfp992	40	36	42	37	41	41	38	26
Zfp981	0	0	0	1	0	0	0	0
Zfp993	8	3	3	4	7	8	7	7
1700095A21Rik	0	0	0	0	0	0	0	0
Gm30681	0	0	0	0	0	0	0	0
Gm20875	0	0	0	0	0	0	0	0
Gm21411	0	0	0	0	0	0	0	0
Rex2	0	0	0	0	0	0	0	0
4933438K21Rik	0	0	1	0	0	0	0	0
Zfp978	4	3	5	4	5	6	1	4
Zfp991	66	87	73	84	68	63	58	73
Zfp988	0	0	0	0	0	0	0	0
Gm46898	0	0	0	0	0	0	0	0
Zfp982	4	7	0	3	6	2	5	2
